? s?,Tàn c?i,Sort desc,Image,Desc,S? ngÖy ? ?Éy,K?t qu? x£c s?c 1,K?t qu? x£c s?c 2,K?t qu? x£c s?c 3,K?t qu? x£c s?c 4,K?t qu? x£c s?c 5,K?t qu? x£c s?c 6
11,"C?i S£c Sinh
",Gìng Cóm C?a Vì Minh,Realm_01.jpg,"??c ?i?m & Nguyàn NhÉn ??a L?c
Mìi tr??ng s?ng: 

Ch? y?u ? bi?n c?, r?ng sÉu, m?t s? b? giam c?m lÖm th£ nuìi.
Nguyàn nhÉn: Do nghi?p si mà (c? tçnh ph?t l? chÉn l?, t? ch?i h?c h?i).
??c ?i?m tÉm l?:
HÖnh ??ng theo b?n n?ng, khìng phÉn bi?t thi?n/†c.
Kh? ?au ?i?n hçnh: B? s?n b?t, ?n th?t l?n nhau, lÖm vi?c kh? sai.

PhÉn Lo?i S£c Sinh Theo Nghi?p B†o
LoÖi V?t Nghi?p NhÉn ??i Tr??c
R?n ??c SÉn h?n, thó ghÇt
S? t? Kiàu ng?o, khinh ng??i
Ch¢ N?nh h¢t, xu n?nh quy?n th?
Kh? Tham lam, tr?m c?p
Qu? N¢i l?i ??c †c, ch?i r?a
Th£ ?n th?t S†t sinh + tham d?c
Ng?a N? n?n khìng tr? (ki?p tr??c gian l?n ti?n b?c)
C†ch Chuy?n H¢a Nghi?p S£c Sinh
Ph¢ng sinh: C?u m?ng v?t s?p b? gi?t (c?n lÖm ?£ng c†ch ?? tr†nh ""ph¢ng sinh thÖnh h?i sinh"").
?n chay: Gi?m nhu c?u gi?t m?.
Trç ch£ L?c T? ??i Minh: ""Om Ma Ni Pad Me Hum"" ?? khai m? tr° tu? cho loÖi v?t.
BÖi H?c NhÉn Qu?
Kinh Ph†p C£ 70:
""M?t ngÖy trç gi?i, khìng s†t sinh,
Cïn h?n s?ng tr?m n?m mÖ †c nghi?p ??y mçnh.""
CÉu chuy?n Ph?t gi†o:
Ti?n thÉn ??c Ph?t t?ng lÖm nai ch£a (Jataka) ? dó lÖ th£ v?n tu h?nh B? T†t",3,27,17,12,13,10,5
12,"C?i Th?n Th£  
",Sinh V?t Siàu Nhiàn Ph?t Gi†o,Realm_02.jpg,"??c ?i?m & Ngu?n G?c
Th£ th?n (Divine Animals) lÖ nh?ng sinh v?t phi th??ng, khìng sinh ra t? bÖo thai hay tr?ng mÖ do th?n l?c ho?c nghi?p b†o ??c bi?t:
Kh†c v?i s£c sinh thìng th??ng: C¢ phÇp thu?t, tr° tu? cao h?n, th??ng ph?c v? ch? thiàn.
Ngu?n g?c nghi?p b†o:
Ki?p tr??c lÖ ngh? nhÉn (?iàu kh?c, h?i h?a) c¢ tÉm b? th° nh?ng cïn ng? m?n.
Ho?c tu t?p thi?n ??nh nh?ng ch?a ??t gi?i tho†t.

PhÉn Lo?i Th£ Th?n
LoÖi ??c ?i?m Liàn H? V?n H¢a

Kim X° ?i?u (Garuda) Chim th?n kh?ng l?, k? thó c?a r?ng (Naga) V?t c??i c?a th?n Vishnu (?n ?? gi†o)
CÖn-th†t-bÖ (Gandharva) Th?n Ém nh?c, s?ng b?ng h??ng hoa Nh?c cìng c?a thiàn ?çnh
D?-xoa (Yaksha) B†n th?n n£i/r?ng, c¢ th? h? trç ho?c h?i ng??i tóy tÉm t°nh Th?n tÖi/g†c ??n trong dÉn gian
Kh?n-na-la (Kinnara) N?a ng??i n?a chim, tÖi hoa T??ng tr?ng cho ngh? thu?t
BÖi H?c NhÉn Qu?
Kinh Hoa Nghiàm:
""Dó lÖm th£ th?n oai l?c,
Khìng b?ng lÖm ng??i tu ??o.""

Chuy?n h¢a nghi?p:
Dó c¢ th?n thìng, th£ th?n v?n b? luÉn h?i n?u khìng tu t?p.
Ph??ng ph†p gi?i tho†t: Ni?m Ph?t, trç ch£ ?? chuy?n nghi?p.",5,28,27,15,21,11,10
13,"C?i Long V??ng
","V??ng Qu?c R?ng Ph?t Gi†o
",Realm_01.jpg,"??c ?i?m & Mìi Tr??ng S?ng
Long v??ng (Naga) lÖ ch?ng t?c r?n th?n n?a ng??i n?a r?ng, c¢ ??c ?i?m:
Hçnh d†ng: ThÉn r?n + ??u/vai ng??i (t??ng t? tiàn c† ph??ng TÉy).
N?i ?: Cung ?i?n ng?c d??i bi?n, sìng, h?, ho?c hang ??ng linh thiàng.
Quy?n n?ng:
?i?u khi?n m?a gi¢ (TÉy T?ng th? Naga nh? th?n m?a).
B?o v? kho b†u (chÉu b†u, kinh ?i?n M?t tìng).

Ngu?n G?c Nghi?p B†o
Ki?p tr??c: LÖ ng??i hÖo ph¢ng nh?ng n¢ng t°nh, ho?c tu t?p th?n thìng nh?ng sÉn h?n.
??i th? truy?n ki?p: Kim X° ?i?u (Garuda) ? loÖi chim th?n chuyàn ?n th?t r?ng.

PhÉn Lo?i Long V??ng
Lo?i Naga ??c T°nh
Thi?n Naga H? ph†p Ph?t gi†o (nh? Long v??ng B†t ??i trong Kinh Ph†p Hoa).
?c Naga GÉy b?nh d?ch, l? l?t do tÉm sÉn h?n.
Naga V??ng Cai qu?n 4 bi?n (nh? S?gara - Long v??ng trong Kinh Di?u Ph†p Liàn Hoa).
BÖi H?c NhÉn Qu?
Kinh ??a T?ng:
""Long v??ng dó c¢ th?n thìng,
V?n b? Kim X° ?i?u s?n ?u?i ?
Nghi?p sÉn h?n ??i tr??c khìng d?t,
??i nÖy ch?u qu? b†o khìn l??ng.""
Chuy?n h¢a nghi?p Naga:
T?ng Ch£ ??i Bi ?? h¢a gi?i o†n thó v?i Garuda.
C£ng d??ng n??c s?ch (Naga th°ch nghi?p b?o v? ngu?n n??c).
6. Hçnh ?nh Ngh? Thu?t
Trong tranh TÉy T?ng:
Thi?n Naga: MÖu tr?ng/xanh l†, tay c?m chÉu ng?c.
?c Naga: MÖu ?en/??, mi?ng phun l?a.
Naga V??ng: ??i v??ng mi?n, ng?i tràn ngai r?ng.
Fun fact: Trong ki?n tr£c chóa Vi?t, ""R?ng phun n??c"" lÖ bi?u t??ng c?a Naga b?o v? Ph?t ph†p.",5,28,27,15,21,11,10
14,"??o Qu? 
","Th? Gi?i c?a D? Xoa
",Realm_02.jpg," ??c ?i?m & Ngu?n G?c
D? Xoa (Rakshasa) lÖ loÖi qu? ?n th?t ng??i, c¢ ??c ?i?m:
Hçnh d†ng: M†u ??, c??i l?a ?? b?ng tr?ng (bong-bu), t?c ?? nh? gi¢.
N?i ?: ??o T°ch Lan (Sri Lanka) - n?i ??c Ph?t t?ng hÖng ph?c qu? v??ng.
Quy?n n?ng:
Bi?n hçnh tóy ? (th??ng h¢a thÖnh ng??i ??p ?? d? d?).
Ho?t ??ng ban ?àm, chuyàn ?n th?t tr? em vÖ x†c ch?t.

Ngu?n G?c Nghi?p B†o
Ki?p tr??c: LÖ ng??i s†t sinh vì ?? (gi?t v?t nuìi lÖm th?c ph?m, hi?n t?).
Nghi?p ??c bi?t:
?c nghi?p: TÖn s†t vç l?i °ch c† nhÉn ? thÖnh qu? hung d?.
Thi?n nghi?p: T?ng b? th° ? c¢ th?n thìng m?nh.

PhÉn Lo?i D? Xoa
Lo?i ??c T°nh
D? Xoa ?c Chuyàn h£t m†u, ph† ho?i lÖng m?c (nh? qu? Pishacha trong ?n ?? gi†o).
D? Xoa H? Ph†p ???c Liàn Hoa Sinh (Padmasambhava) thu ph?c, tr? thÖnh h? v? M?t tìng.
BÖi H?c NhÉn Qu?
Kinh ??a T?ng:
""Gi?t h?i ch£ng sinh vç lïng tham,
??i sau lÖm qu? ?¢i ?n m†u tanh.""
Ph??ng ph†p h¢a gi?i:
Trç ch£ L?ng Nghiàm ?? ph† tr? ma ch??ng.
C£ng d??ng ?än (†nh s†ng xua tan b¢ng t?i qu? gi?i).
6. Hçnh ?nh Ngh? Thu?t
Trong tranh TÉy T?ng:

D? Xoa ?c: MÖu ?en/??, tay c?m ??u lÉu ho?c dao phay.

D? Xoa H? Ph†p: MÖu xanh d??ng, ??ng tràn x†c qu? (v° d?: Mahakala).

Fun fact: Trong L? ?en (Tibetan Ghost Festival), c†c L?t ma dóng ph†p kh° hçnh l?a ?? ?? tri?u t?p vÖ hÖng ph?c D? Xoa.",3,25,42,17,15,5,3
15,"C?i A-tu-la
","Th? Gi?i c?a Ph?n Th?n
",Realm_01.jpg,"??c ?i?m & Mìi Tr??ng S?ng
A-tu-la (Asura) lÖ ch?ng t?c b†n th?n v?i s?c m?nh g?n b?ng ch? thiàn nh?ng luìn ghen t? vÖ chi?n tranh:
N?i ?: ""ThÖnh ph? †nh s†ng"" d??i chÉn n£i Tu-di, g?n c?i tr?i 33 (Trayastrimsa).
??c t°nh:
Kiàu ng?o, luìn mu?n tranh giÖnh quy?n l?c v?i ch? thiàn.
Ghen ghÇt cÉy ??c Nguy?n (Kalpavriksha) - cÉy m?c r? ? c?i A-tu-la nh?ng ra hoa k?t tr†i tràn thiàn gi?i.

Ngu?n G?c Nghi?p B†o
Ki?p tr??c: LÖ ng??i hÖo ph¢ng nh?ng hi?u chi?n, ho?c tu kh? h?nh ?? tranh giÖnh quy?n l?c.
CÉu k? t¢m t?t:
""Hay l?a d?i, ?a tranh c?i,
Nh?ng c?ng c¢ lïng b? th° ?
Nghi?p ?y ??a ??n c?i A-tu-la,
LÖm vua mÖ khìng an vui.""
PhÉn Lo?i A-tu-la
Lo?i ??c T°nh
A-tu-la Khìng Gian GÉy nh?t th?c/nguy?t th?c (nh? vua Rahu nu?t m?t tr?i).
A-tu-la Chi?n Binh Liàn t?c giao chi?n v?i ch? thiàn, thua tr?n nh?ng khìng bao gi? ??u hÖng.
A-tu-la Bi?n S?ng d??i ?†y bi?n, gÉy s¢ng th?n/b?o t?.
BÖi H?c NhÉn Qu?
Kinh Ph†p C£ 6:
""Ng??i ngu ngh? mçnh m?nh,
Nh?ng b?i tr?n liàn miàn ?
A-tu-la dó oai l?c,
V?n kh? vç thua thiàn.""

Chuy?n h¢a nghi?p A-tu-la:

Tu h?nh nh?n nh?c (kshanti) ?? di?t tÉm sÉn.

C£ng d??ng ?än hoa ? t??ng tr?ng cho vi?c buìng b? tranh ??u.

6. Hçnh ?nh Ngh? Thu?t
Trong tranh TÉy T?ng:

A-tu-la: MÖu xanh l†/xanh d??ng, tay c?m chóy kim c??ng ho?c v? kh°.

CÉy ??c Nguy?n: Th??ng v? ? ranh gi?i gi?a c?i A-tu-la vÖ thiàn gi?i.

Fun fact: Trong thiàn v?n ?n ??, Rahu-Ketu (A-tu-la th?) lÖ nguyàn nhÉn c?a nh?t/nguy?t th?c ? t??ng tr?ng cho lïng tham khìng ?†y.",5,28,14,21,11,10,4
16,"Rudra - ""T? Do ?en T?i"" 
","K? Tu Luy?n TÖ M?t
",Realm_02.jpg,"Ngu?n G?c & Bi K?ch
Rudra (ngh?a Sanskrit: ""K? G?m ThÇt"") lÖ hi?n thÉn c?a yogi ph?m gi?i, tu luy?n M?t tìng vç tham v?ng quy?n l?c thay vç lïng t? bi. CÉu chuy?n c?a h?n b?t ngu?n t?:
Ti?n ki?p: M?t hÖnh gi? M?t tìng tàn Moksakala (T? Do ?en), l?i d?ng ph†p tu ?? th?a m?n d?c v?ng, ph† v? m?i gi?i lu?t.
H?u qu?: Sau khi ch?t, h?n ??a lÖm th?n Rudra - phiàn b?n ??c †c c?a th?n Shiva trong ?n ?? gi†o, chuyàn gieo r?c s? h?i.
??c ?i?m Qu? D?
Hçnh t??ng: Mçnh ng??i da ?en, ba m?t, c? ?eo vïng s?, tay c?m ?inh ba t?m m†u.
Quy?n n?ng:
??t th?n thìng (bay, h¢a hçnh) nh?ng ch? ?? khu?t ph?c ng??i kh†c.
GÉy d?ch b?nh, thiàn tai khi n?i gi?n.
N?i ?: Cung ?i?n b?ng x??ng trong vóng biàn gi?i gi?a c?i th?n vÖ qu?.

Nghi?p B†o & S? HÖng Ph?c
T?i †c:
T?ng thiàu ch?t th?n Tçnh Yàu (Kamadeva) b?ng †nh m?t ph?n n?.
??t ch†y ??n th? c?a vua A-tu-la vç b? x?p th? t? c£ng d??ng sau cóng.
C?u r?i:
B? B? T†t Kim Cang Th? (Vajrapani) hÖng ph?c, bi?n thÖnh H? Ph†p Mahakala (??i H?c Thiàn) sau khi gi†c ng?.
? ngh?a sÉu xa:
Dó t?i †c ch?t ch?ng, Ph?t t°nh v?n t?n t?i ? ch? c?n 1 ni?m h?i ??u.
Mahakala ch°nh lÖ phiàn b?n gi†c ng? c?a Rudra.

Fun fact: Trong nghi l? M?t tìng, ph†p kh° hçnh l??i h†i c?a Mahakala ch°nh lÖ v? kh? c? c?a Rudra ?? ???c ""chuy?n h¢a"".",15,34,34,34,34,34,34
17,"Nam Thi?m B? ChÉu
","L?c ??a c?a Tr° Tu? & Gi†c Ng?
",Realm_01.jpg,"Ph£c LÖnh c?a ThÉn Ng??i
Dó ph?i ??i m?t v?i kh? ?au nh? b?nh t?t, chi?n tranh, vÖ nghäo ?¢i, vi?c ???c sinh lÖm ng??i ? Nam Thi?m B? ChÉu v?n lÖ c? h?i hi?m c¢ nh?t trong luÉn h?i, vç ch? con ng??i m?i h?i ?? ba ?i?u ki?n qu? b†u:

- ? ch° tho†t kh?i sinh t?

- C? duyàn g?p ???c Ch†nh Ph†p (Dharma)

- Th?i gian vÖ t? do ?? tu t?p

- ?Éy c?ng lÖ n?i duy nh?t ??c Ph?t th? hi?n vÖ ch? d?y con ???ng ??n Ni?t BÖn, b?i:

""Ch£ng sinh Nam Thi?m B? ChÉu s? h?u tr° tu? s?c bÇn.""

Hçnh ?nh Bi?u T??ng

V? tr°: N?m ph°a Nam n£i Tu-di (Meru), hçnh thang ""nh? c? xe ng?a"".

Trung tÉm: 

Kim C??ng Tïa (Vajr?sana) t?i B? ?? ??o TrÖng (Bodhgaya) ? n?i ??c Ph?t thÖnh ??o.

Tàn g?i: Xu?t ph†t t? cÉy Jambu (cÉy h?ng t†o th?n tho?i).",3,52,25,26,38,22,6
18,"TÉy Ng?u H¢a ChÉu
","C?i H??ng Th? & S?c MÖu K? L?
",Realm_02.jpg,"??c ?i?m c?a C?i nÖy
Ph£c b†u lÖm ng??i: Sinh ra ? ?Éy ???c h??ng giÖu sang, s?ng trong vóng ??t tró ph£ v?i h? n??c vÖ ??ng c? mành mìng.

Ph?t Ph†p hi?n di?n nh?ng khìng h?ng th?nh: Dó c¢ gi†o ph†p, c? dÉn n?i ?Éy thì l?, s?ng ch? y?u b?ng vi?c ?n th?t vÖ °t quan tÉm ??n tu t?p.

Hi?n t??ng ""c?m gi†c k?t h?p"" (synesthesia):

M?t c¢ th? nghe ???c Ém thanh, tai nhçn th?y mÖu s?c.

??i s?ng tçnh d?c r?t h?n ch?, ch? kho?ng 10-12 l?n trong c? ??i.

Khìng gian ?? r?c: MÖu s?c c?a tr?i vÖ n??c ? ?Éy ph?n chi?u †nh h?ng ng?c t? b?c t??ng ph°a TÉy c?a n£i Tu-di (Meru).

? Ngh?a ?n Sau
C?a c?i khìng ?i ?ìi v?i tr° tu?: Dó s?ng trong sung t£c, ng??i TÉy Ng?u H¢a ChÉu thi?u ? th?c tÉm linh, d? ?†nh m?t c? h?i gi?i tho†t.

Nghi?p l?c ?a d?ng: T? c?i ng??i, h? c¢ th? th?ng làn thiàn gi?i, ??a lÖm s£c sinh, ho?c sa vÖo c?nh gi?i kh? ?au ? tóy vÖo hÖnh ??ng vÖ tÉm th?c.

""GiÖu sang mÖ vì minh, ph£c b†u c?ng thÖnh c?m b?y.""",3,38,27,13,21,11,10
19,"?ìng Th?ng Th?n ChÉu
","L?c ??a c?a 
Dung M?o & An L?c",Realm_01.jpg,"??c ?i?m C?i Ng??i Cao Qu?

Hçnh t??ng trang nghiàm: Ch£ng sinh ? ?Éy s? h?u thÉn hçnh ??p ??, cao qu?, tÉm t°nh ìn hïa, thanh t?nh.

Khìng gian trong lÖnh: ?nh s†ng t? b?c t??ng pha là ph°a ?ìng n£i Tu-di (Meru) chi?u r?i, t?o nàn b?u tr?i tinh khi?t, khìng u? tr??c.

??i s?ng an l?c: ?t x†o tr?n b?i tham sÉn si, thu?n duyàn tu t?p nh?ng thi?u ngh?ch c?nh ?? tinh t?n.

?n ? Ph°a Sau
Ph£c b†u thÖnh ch??ng ng?i?

Dó s?ng trong an l?c, ng??i ?ìng Th?ng Th?n ChÉu d? thi?u ??ng l?c tu t?p vç °t kh? ?au k°ch ph†t tÉm c?u gi?i tho†t.

Nghi?p l?c ch? y?u nghiàng v? Duyàn Gi†c (t? ng?) ho?c Thinh V?n (nghe ph†p), nh?ng c?ng d? sa vÖo c?i th?p do l??i tinh t?n.",3,43,38,13,15,15,11
20,"B?c CÉu L? ChÉu
","Thiàn ???ng Tr?n Gian
",Realm_02.jpg,"??c ?i?m C?i Ng??i H?nh Ph£c Nh?t
MÖu s?c: ?nh l?c b?o t? b?c t??ng ng?c ph°a B?c n£i Tu-di (Meru) ph? xu?ng, t?o nàn khung c?nh thanh bçnh.

X? h?i l? t??ng:
Khìng t? h?u, khìng hìn nhÉn, s?ng c?ng ??ng thu?n khi?t.
Ph? n? nuìi con b?ng ng¢n tay (truy?n th?ng c?), tr? em ???c nuìi d?y t?p th?.
Khìng tham †i hay tranh ??u, tu?i th? trung bçnh 1.000 n?m.
Thiàn nhiàn ban t?ng:
L£a g?o t? ch°n, cÉy c?i quanh n?m tr?u qu?.
Khìng ai n¢i ""C†i nÖy c?a tìi"", nàn khìng c¢ t?i †c hay ch?t y?u.

Gi?i H?n C?a H?nh Ph£c
Dó s?ng trong viàn m?n, c? dÉn B?c CÉu L? ChÉu:
Khìng th? gi? gi?i lu?t (nh? ch? Thiàn), vç thi?u ngh?ch c?nh ?? nh?n ra kh? ??.
Tr° tu? ?çnh tr?: Cu?c s?ng qu† d? dÖng khi?n h? khìng ph†t tri?n tÉm linh, khìng th? tu thi?n kh¢.
Khìng t?o †c nghi?p, nh?ng c?ng khìng ti?n ??n gi?i tho†t.
""H?nh ph£c nh? b?ng ? ??p nh?ng vì h?n, khìng th? ch?y thÖnh dïng gi†c ng?.""",3,28,27,17,19,15,15
21,"C?i Man R?
","N?i B?o L?c Th?ng Tr?
",Realm_01.jpg,"??c ?i?m C?a C?i NÖy

Ki?p ng??i tÖn kh?c: Sinh ra trong x? h?i vì minh, duy v?t, n?i chi?n tranh ???c xem lÖ c†ch th?c giao ti?p ch°nh.
C?nh quan ??m m†u: N£i non g? gh?, ??t ?ai nhu?m mÖu ?? c?a m†u ? nghi?p b†o t? s†t sinh, tÖn b?o vÖ ?n th?t vì ??.
B?i c?nh l?ch s?: ?m ch? c†c b? t?c H?i gi†o Th? Nh? K? xÉm l??c ?n ??, ph† h?y kinh s†ch, t??ng Ph?t, vÖ c?ng ??ng Ph?t gi†o. ? TÉy T?ng, h? thÖnh ?? t? ? ngh? nghi?p g?n v?i nghi?p s†t.

Nghi?p Qu? vÖ C? H?i
TÖn b?o nh?ng khìng tuy?t ???ng: Dó s?ng trong vì minh, n?u bi?t h??ng thi?n, v?n c¢ th?:
Hïa nh?p v?i ?n ?? gi†o (nh? dïng Sufi H?i gi†o k?t h?p v?i Hindu).
*??t tr?ng th†i Wisdom-Master (s? 62)* ? tr° tu? t?i th??ng c?a Hindu gi†o.
Thìng ?i?p SÉu S?c
B?o l?c nuìi d??ng b?o l?c:
TÖn s†t, thó h?n ch? d?n ??n c†c c?i th?p h?n ? A-tu-la, ??a ng?c, ho?c s£c sinh.
?nh s†ng trong b¢ng t?i:
Dó ? c?i man r?, v?n c¢ c? h?i chuy?n h¢a qua tr° tu? (Wisdom-Master) n?u bi?t buìng b? c?c ?oan.
""C?m dao gi?t ng??i, tay mçnh c?ng ch?y m†u ?
Gieo nghi?p s†t, ??i sau nh?n l?y ?ao binh.""
",3,15,62,13,11,10,2
22,"C?i ?n ?? Gi†o
","??t Thiàng c?a 
Minh Tri?t & RÖng Bu?c",Realm_02.jpg,"??c ?i?m C?a C?i NÖy
Ph£c b†o v?a ??: Sinh vÖo giai c?p BÖ-la-mìn, trong n?n v?n minh r?c r? v?i ngh? thu?t, khoa h?c, vÖ t? duy siàu hçnh ph†t tri?n ??nh cao.
Thiàn nhiàn tró ph£: ??t ?ai xanh t??i, sìng H?ng linh thiàng, ??i s?ng tinh th?n d?i dÖo.
Gi?i h?n c?a tri?t l?:
Tìn th? ""Th?n Linh"" (God) vÖ ""Linh h?n b?t t?"" (Atman) t?o ra h? ??o ??c cao, nh?ng c?ng lÖ g†nh n?ng luÉn h?i:
C?c ?oan bàn ngoÖi: T? l?, kh? h?nh Çp x†c.
MÉu thu?n n?i t?i: Khìng th? ch?ng minh b?ng logic, d? r?i vÖo gi†o ?i?u.

Nghi?p Qu? vÖ C? H?i
M?t t?i:
T°n ng??ng c?ng nh?c c¢ th? d?n ??n †c nghi?p (t? sinh, phÉn bi?t ??ng c?p).
M?t s†ng:
LÖ c†i nìi c?a Ph?t gi†o ? ??c Ph?t ??n sinh t?i ?n ??, dóng tr° tu? ph† b? rÖng bu?c ""Th?n ? Ng?"".
Thìng ?i?p SÉu S?c
Bi k?ch c?a ni?m tin c?ng nh?c:
Dó Hindu gi†o c¢ h? th?ng tri?t h?c uyàn thÉm, vi?c b†m ch?p vÖo ""Th?n ? Ng?"" khi?n ch£ng sinh quàn m?t Vì Ng? (Anatta) ? c?t l?i c?a gi?i tho†t.
Ph?t gi†o: B??c ti?n h¢a tÉm linh:
T? n?n t?ng ?n ?? gi†o, ??c Ph?t ph? ??nh vÖ v??t qua b?ng T? Di?u ??, m? ra con ???ng tho†t kh? th?c s?.
""Khi tìn th? m?t v? th?n, b?n tr? thÖnh nì l? c?a ch°nh ni?m tin ?¢.
Khi th?y r? Vì Ng?, b?n lÖ ch? nhÉn c?a v? tr?.""",3,52,62,13,15,11,3
23,"B?n Gi†o
","Ph†p Thu?t 
& Con ???ng TÉm Linh 
Song HÖnh",Realm_01.jpg,"Ngu?n G?c vÖ B?n Ch?t
Xu?t x?: B?t ngu?n t? vóng Persia (Ba T?), du nh?p vÖo TÉy T?ng tr??c Ph?t gi†o (kho?ng th? k? 1-2 CN), mang ??m mÖu s?c shaman (phó th?y).

T??ng ??ng v?i ??o gi†o: Cóng h? th?ng phÇp thu?t, giao ti?p v?i linh gi?i, vÖ t°n ng??ng v?n v?t h?u linh.

Quy?n n?ng c? x?a:

C†c vua TÉy T?ng (btsan-po) ???c xem lÖ th?n tr?i, c¢ kh? n?ng du hÖnh tam gi?i (??a ng?c, tr?n gian, thiàn ???ng) b?ng dÉy th?ng tr?i ho?c c??i tr?ng.

Ph†p s? Bîn chuyàn ?i?u khi?n th?i ti?t, b¢i to†n, d?n d?t linh h?n sau ch?t.

Bîn Hi?n ??i: ""Phiàn B?n ??o Ng??c"" c?a Ph?t Gi†o
?nh h??ng Ph?t gi†o: Sau khi Ph?t gi†o truy?n vÖo TÉy T?ng, Bîn m??n kinh ?i?n nh?ng ??o ng??c bi?u t??ng:

Swastika (ch? V?n) xoay ng??c chi?u.

?i nhi?u th†p/chóa ng??c kim ??ng h? (khi?n ng??i TÉy T?ng xem lÖ trï c??i).

Ti?m n?ng tÉm linh: Dó lÖ ngo?i ??o, Bîn ???c ?†nh gi† g?n Ph?t gi†o nh?t, d? chuy?n h¢a thÖnh tu t?p chÉn ch°nh.
BÖi H?c T? Bîn Gi†o
Ph†p thu?t ? Gi?i tho†t:

Dó m?nh v? th?n thìng, Bîn v?n tr¢i bu?c trong luÉn h?i vç thi?u tu? gi†c Vì Ng?.

C†nh c?a vÖo ??i Th?a:

N?ng l?c ti?p x£c v?i th? gi?i vì hçnh c¢ th? chuy?n h¢a thÖnh B? T†t h?nh n?u bi?t h??ng v? t? bi vÖ tr° tu?.

""Phó ch£ d?n l?i Ém ty ?
Ch? c¢ tr†i tim t?nh th?c m?i v? Ni?t BÖn.""",3,52,62,13,15,11,3
24,"bardo t†i sinh
","Ng? S†u LuÉn H?i
",Realm_02.jpg,"Kh?i ??u Trï Ch?i Nghi?p B†o
B?n ?ang ??ng tr??c 6 con ???ng mÖu s?c, t??ng tr?ng cho 6 c?i luÉn h?i do nghi?p l?c d?n d?t:
Tr?ng: C?i Tr?i (Thiàn gi?i)
Xanh d??ng: C?i Ng??i (NhÉn gian)
Xanh l†: C?i S£c Sinh
VÖng: C?i Ng? Qu?
Kh¢i ?en: ??a Ng?c
??: C?i A-tu-la (Asura)
""Nghi?p khìng ph?i ??nh m?nh ?
Nghi?p lÖ hÖnh ??ng c?a thÉn, kh?u, ?.
M?i l?a ch?n hìm nay, lÖ s? ph?n ngÖy mai.""

L?i Nh?c Nh? Kh?n Thi?t
CÉu k? trong v?n b?n nh?n m?nh:
C? h?i lÖm ng??i kh¢ ???c, nh?ng d? m?t.
N?u khìng t?n d?ng tu t?p ngay bÉy gi?, khi nÖo m?i tho†t kh?i luÉn h?i?
Thìng ?i?p C?t L?i
MÖu s?c = Nghi?p l?c hi?n hi?n:
M?i mÖu ???ng ph?n †nh tÉm th?c b?n ?ang nuìi d??ng: tham (??), sÉn (?en), si (xanh l†)...
Con ???ng tho†t kh?:
Ch? c?i ng??i (xanh d??ng) vÖ c?i tr?i (tr?ng) c¢ c? h?i tu t?p, nh?ng d? sa ??a n?u buìng lung.
A-tu-la (??) vÖ Ng? Qu? (vÖng) lÖ c?nh gi?i b†o ?ng tr?c ti?p c?a s? b†m ch?p vÖ tham lam.

""Gieo nhÉn nÖo, g?t qu? n?y ?
Khìng tr?n ???c nghi?p, ch? chuy?n ???c nghi?p.""",3,27,17,15,11,10,6
25,"B??c VÖo M?t Th?a
","Con ???ng Kim C??ng 
T?i Th??ng",Realm_01.jpg,"B?n Ch?t C?a M?t Tìng
""C? xe ch£ ng?"" (Mantray?na): Con ???ng b° m?t, dóng th?n ch£ (vidya), qu†n t??ng vÖ nghi l? ?? ??t gi†c ng? nhanh ch¢ng ? ???c v° nh? leo n£i b?ng ???ng t?t.
DÖnh cho c?n c? ??c bi?t:
N?u lÖ qu? th?n, b?n ???c nhi?p ph?c b?i lïng t? bi c?a ??o s? M?t th?a.
N?u lÖ con ng??i, c?n m?t v? Lama/Guru chÉn ch°nh d?n d?t, n?u khìng s? r?i vÖo ?iàn lo?n ho?c ??a ng?c.
?i?u Ki?n Tiàn Quy?t
Gi? gi?i lu?t nghiàm ng?t:
3 lo?i gi?i c?n b?n:
Quy y Tam B?o (Ph?t, Ph†p, T?ng).
Ph†t B? ?? tÉm (nguy?n c?u ?? ch£ng sinh).
Gi?i t?i gia ho?c xu?t gia.
14 gi?i c?n b?n M?t th?a (khìng ???c ph† v?).
Tu t?p tiàn kh?i (Ngondro):
4 qu†n t??ng chuy?n tÉm (m?i ph†p tu 1 tu?n):
Qu? tr?ng thÉn ng??i/Vì th??ng vÖ c†i ch?t/NhÉn qu? nghi?p b†o/Kh? ?au luÉn h?i.
Quy y vÖ ph†t B? ?? tÉm (100.000 l?n)
ChÉn ngìn t?nh h¢a (100.000 l?n)
C£ng d??ng M?n-?Ö-la. (100.000 l?n)
Guru Yoga (k?t n?i v?i dïng truy?n th?a)(100.000 l?n)
K?t Qu? Tu T?p
Ch? trong vÖi th†ng ??n vÖi n?m, hÖnh gi? ??t ???c cìng ??c t??ng ???ng ??i Th?a ??o T°ch L?y (s? 52).
Tr° tu? ch? ??n qua thi?n ??nh: Khìng ph?i l? thuy?t suìng!
C?nh B†o Nguy Hi?m
M?t th?a nh? dao hai l??i:
Khìng Guru, khìng gi?i lu?t ? ?iàn lo?n, ??a ??a ng?c.
Tu ?£ng ph†p ? gi?i tho†t trong m?t ??i.
""L?a M?t ph†p thiàu r?i vì minh ?
Nh?ng n?u thi?u ki?n th?c, b?n s? lÖ nhiàn li?u.""",3,72,33,33,33,33,38
